game_id,tag
0,FPS
0,Shooter
0,Multiplayer
0,Competitive
0,Action
0,Team Based
0,eSports
0,Tactical
0,First Person
0,PvP
0,Online Co Op
0,Co op
0,Strategy
0,Military
0,War
0,Difficult
0,Trading
0,Realistic
0,Fast Paced
0,Moddable
1,Survival
1,Shooter
1,Battle Royale
1,Multiplayer
1,FPS
1,PvP
1,Third Person Shooter
1,Action
1,Online Co Op
1,Tactical
1,Co op
1,First Person
1,Strategy
1,Early Access
1,Competitive
1,Third Person
1,Team Based
1,Difficult
1,Simulation
1,Stealth
2,Free to Play
2,MOBA
2,Multiplayer
2,Strategy
2,eSports
2,Team Based
2,Competitive
2,Action
2,Online Co Op
2,PvP
2,Difficult
2,Co op
2,RTS
2,Tower Defense
2,RPG
2,Fantasy
2,Character Customization
2,Replay Value
2,Action RPG
2,Simulation
3,Open World
3,Action
3,Multiplayer
3,Crime
3,Automobile Sim
3,Third Person
3,First Person
3,Shooter
3,Mature
3,Adventure
3,Singleplayer
3,Third Person Shooter
3,Racing
3,Co op
3,Atmospheric
3,Sandbox
3,Funny
3,Great Soundtrack
3,Comedy
3,Moddable
4,FPS
4,PvP
4,eSports
4,Shooter
4,Multiplayer
4,Tactical
4,Competitive
4,Online Co Op
4,Action
4,Hero Shooter
4,Team Based
4,Military
4,War
4,Realistic
4,Destruction
4,Strategy
4,Co op
4,First Person
4,Difficult
4,3D
5,Open World Survival Craft
5,Sandbox
5,Survival
5,2D
5,Multiplayer
5,Adventure
5,Pixel Graphics
5,Crafting
5,Building
5,Exploration
5,Co op
5,Open World
5,Online Co Op
5,Indie
5,Action
5,RPG
5,Singleplayer
5,Replay Value
5,Platformer
5,Atmospheric
6,Sandbox
6,Multiplayer
6,Funny
6,Moddable
6,Building
6,Mod
6,Comedy
6,Co op
6,First Person
6,Physics
6,Simulation
6,Online Co Op
6,FPS
6,Singleplayer
6,Action
6,Animation & Modeling
6,Shooter
6,Indie
6,Massively Multiplayer
6,Adventure
7,Survival
7,Crafting
7,Multiplayer
7,Open World
7,Open World Survival Craft
7,Building
7,PvP
7,Sandbox
7,Adventure
7,First Person
7,Action
7,FPS
7,Nudity
7,Co op
7,Shooter
7,Online Co Op
7,Indie
7,Early Access
7,Post apocalyptic
7,Simulation
8,Open World
8,RPG
8,Story Rich
8,Atmospheric
8,Mature
8,Fantasy
8,Adventure
